method,val_macro_f1,macro_f1,accuracy,weighted_f1,inference_seconds,inference_ms_per_sample,model_size_mb
transformer,0.9567784274333532,0.9731372987802221,0.9922824618946556,0.9922576458653424,15.601687669754028,1.5050827387376065,484.39803981781006
tfidf,0.9657844530224384,0.9674271315618526,0.9892919158788347,0.989234657706983,2.267446756362915,0.21873883430087931,16.24444007873535
fasttext,0.9051238582010404,0.9050369148504563,0.9691298475786224,0.9690979687369426,2.4591147899627686,0.23722890121192058,6904.096197128296
